Time,ECG
0.0,1.000000000000003
0.002,0.9777927406008012
0.004,0.9070613701322545
0.006,0.7251905305308026
0.008,0.5667545457208124
0.01,0.2699671908994665
0.012,0.14896314989699289
0.014,-0.08530598187777906
0.016,-0.08772539647847179
0.018000000000000002,-0.1497759869928382
0.02,-0.103976579294941
0.022,-0.1021263477861275
0.024,-0.11878239086357965
0.026000000000000002,-0.15650231170266174
0.028,-0.21005061039756912
0.03,-0.1742547254864882
0.032,-0.23249489469721515
0.034,-0.13654552237511428
0.036000000000000004,-0.06794818911639841
0.038,-0.041015395995715145
0.04,-0.007078469105260311
0.042,0.049662095622535145
0.044,0.06716075442141899
0.046,0.03401385552240442
0.048,0.01180029656155956
0.05,0.05136920477112514
0.052000000000000005,-0.01024701061715384
0.054,-0.02833126186710607
0.056,0.013575546557498718
0.058,0.006555108218787662
0.06,-0.007790631080000747
0.062,0.03166039202840973
0.064,0.04028871904672272
0.066,0.07018788284465759
0.068,0.07714978810263338
0.07,-0.007723024241781673
0.07200000000000001,0.04671559279425866
0.074,0.00011704913291569162
0.076,-0.04830179276934616
0.078,-0.0071046642518184586
0.08,0.03485734360407884
0.082,-0.014346094381641958
0.084,0.10912236593530368
0.08600000000000001,0.10770246287473717
0.088,0.0453342040184435
0.09,0.08209612848268037
0.092,0.034728080402337644
0.094,-0.08284600602761882
0.096,-0.03422063107252735
0.098,-0.038976646040209055
0.1,0.04970145526710895
0.10200000000000001,0.021365355578123787
0.10400000000000001,0.19796023149934505
0.106,0.08867816351104522
0.108,0.05236485870378525
0.11,0.03128991263994392
0.112,-0.03742369340582294
0.114,-0.030461306222709716
0.116,0.0020709567938537003
0.11800000000000001,-0.019864472365793452
0.12,0.09119436029599753
0.122,0.11436988826375197
0.124,0.10059997917943327
0.126,0.05216314348793008
0.128,0.04382889073002727
0.13,0.022174072148662453
0.132,0.05353959028555674
0.134,-0.056420845348951816
0.136,0.0659125981273016
0.138,-0.002906113891060491
0.14,0.1058688154984301
0.14200000000000002,0.07339662763280325
0.14400000000000002,0.05160278585005763
0.146,0.10982205553444402
0.148,0.006961249627998323
0.15,0.05971153305689955
0.152,0.07287296360887914
0.154,0.02498117953926319
0.156,0.020743155145935232
0.158,-0.0026119800765062387
0.16,0.05523835607748508
0.162,0.044816523645241024
0.164,0.07572726239370875
0.166,0.08654409130307181
0.168,0.1325135101115137
0.17,0.06750623280454593
0.17200000000000001,0.056755335957344
0.17400000000000002,0.03695465345414691
0.176,-0.019652899541311983
0.178,0.03595339077964466
0.18,0.005408564704081322
0.182,0.04545336936972524
0.184,0.17631796842173378
0.186,0.11013002581714057
0.188,0.0889709743087502
0.19,0.13741201214402182
0.192,-0.009342696568402808
0.194,-0.0029600305458766163
0.196,0.003813029298221828
0.198,-0.028228731372198404
0.2,0.06502123501511037
0.202,0.13351301607989394
0.20400000000000001,0.15567558856557254
0.20600000000000002,0.12415884719699152
0.20800000000000002,0.11709252125514175
0.21,0.02323233770665625
0.212,0.021175258707639002
0.214,0.02701404374479991
0.216,0.002167747858420433
